Location,Date,Description,Weaponry,Casulties,Shot Down
Aita ech Chaab,22-03-2024,"On 22 March 2024, Israeli warplanes carried out an airstrike with two air-to-surface missiles on a house in Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. Other airstrikes also targeted the Abo Laban neighborhood. The Israeli military announced it had targeted military infrastructure for Hezbollah. There were no casualties.",missiles,0,0
Khiyam,22-03-2024,"On 22 March 2024, Israeli warplanes carried out an airstrike and an Israeli Merkava tank fired two shells towards a house in Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards Al Assafir valley in the town. There were no casualties.",airstrike,0,0
El Hamames,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells towards El Hamames town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells in the eastern vicinity of Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells and used heavy machine gunfire towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells in the vicinity of Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells and used heavy machine gunfire towards Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,22-03-2024,"On 22 March 2024, the Israeli military fired more than 30 artillery shells (155mm rounds) on residential neighborhoods in Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Taybeh,22-03-2024,"On 22 March 2024, Israeli warplanes carried out an airstrike on Taybeh town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Aitaroun,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells in the vicinity of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aabbassiye,22-03-2024,"Other: On 22 March 2024, the Israeli military fired flare bombs over Aabbassiye town (Tyr, South).",flare bombs,0,0
Al Wazzani,22-03-2024,"Other: On 22 March 2024, the Israeli military fired flare bombs over Al Wazzani town (Hasbeiya, Al Nabatieh).",flare bombs,0,0
Khiyam,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells and flare bombs in the vicinity of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Deir Mimas,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells on Al Aazziyeh area between Kfar Kila and Deir Mimas town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Labbouneh,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells on Labbouneh town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
El Meri,22-03-2024,"Other: On 22 March 2024, the Israeli military fired flare bombs over El Meri town (Hasbeiya, Al Nabatieh).",flare bombs,0,0
Yaroun,22-03-2024,"On 22 March 2024, the Israeli military fired artillery shells on Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on a house and a coffee shop in Aadayseh Marjayoun (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards the town. There were no casualties.",airstrike,0,0
El Hamames,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells between the valley of Marjayoun and El Hamames town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aita ech Chaab,21-03-2024,"On 21 March 2024, Israeli warplanes carried out two airstrikes on Aita ech Chaab (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Yaroun,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. The Israeli military also fired artillery shells towards the town. There were no casualties.",airstrike,0,0
Aitaroun,21-03-2024,"On 21 March 2024, at around 3:00 PM, the Israeli military fired artillery shells in the vicinity of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Khiyam,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The military targeted the southern districts of the town. There were no casualties.",shells,0,0
Mays el Jabal,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on a house in the eastern neighborhood of Mays el Jabal and another on a house in Ras al Daher neighborhood in Mays el Jabal (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells on Ras al Daher neighborhood. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Tayr Harfa,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. The airstrike led to severe material damage, including to the water and electrical networks. The Israeli military announced it had targeted Hezbollah militants in the town. There were no casualties.",airstrike,0,0
