Location,Coordinates,Date,Description,Weaponry,Casulties,Shot Down
Metulla,"33.2792, 35.5795",06-09-2024,"On 6 September 2024, Hezbollah forces in Lebanon fired three anti-tank missiles at Metulla (Zefat, HaZafon), causing damage to property and infrastructure. No casualties occurred. Hezbollah forces claimed to have hit IDF espionage equipment and buildings used by IDF soldiers directly. No direct hits to IDF sites were reported by Israeli sources.",missiles,0,0
Abirim,"33.0384, 35.2869",06-09-2024,"On 6 September 2024, Hezbollah forces in Lebanon fired several explosive-laden drones that fell in open areas near Abirim (Akko, HaZafon), sparking fires in the area. No casualties occurred. Hezbollah forces claimed to target and directly hit IDF positions in the area of Abirim. No direct hits were reported by Israeli sources.",drone,0,0
Menara,"33.1969, 35.5439",06-09-2024,"On 6 September 2024, Hezbollah forces in Lebanon fired a rocket that fell in an open area near Menara (Zefat, HaZafon). No casualties occurred. Hezbollah forces claimed to have targeted a building used by IDF forces in Menara and to have directly hit it. No direct hits were reported by Israeli sources.",unknown,0,0
Maayan Baruch,"33.2403, 35.609",06-09-2024,"On 6 September 2024, Hezbollah forces in Lebanon fired an explosive-laden drone that fell in an open area near Maayan Baruch (Zefat, HaZafon). No casualties occurred. Hezbollah forces claimed to have targeted an IDF site in the area and hit it directly. No direct hits were reported by Israeli sources.",drone,0,0
Elkosh,"33.0335, 35.3244",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon fired one projectiles that fell in an open area near Elkosh (Akko, HaZafon). No casualties occurred.",projectile,0,0
Ramot Naftali,"33.1015, 35.5532",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon fired about five rockets toward Ramot Naftali (Zefat, HaZafon). At least one fell in Ramot Naftali, causing property damage. No casualties occurred. Hezbollah claims to have targeted the IDF barracks in Ramot Naftali and hit it directly. No direct hits to IDF sites were reported by Israeli sources.",rockets,0,0
Yaara,"33.0675, 35.187",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon launched a drone (likely armed) that fell in an open area near Yaara (Akko, HaZafon). No casualties occurred. Hezbollah claims to have targeted the IDF barracks in the area of Yaara and hit it directly. No direct hits to IDF sites were reported by Israeli sources.",drone,0,0
Menara,"33.1969, 35.5439",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon launched a drone (likely armed) that fell in an open area near Menara (Zefat, HaZafon). No casualties occurred.",drone,0,0
Beit Hillel Base,"33.2231, 35.6017",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit the IDF Beit Hillel Base (Zefat, HaZafon) with a \",unknown,0,0
Malkiyya,"33.0983, 35.5108",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon claimed to have targeted an IDF site in the area of Malkiyya (Zefat, HaZafon) with artillery shells. Hezbollah did not claim any direct hits. No attempted attacks or direct hits were reported by Israeli sources.",shells,0,0
Birkat Risha,"33.095, 35.256",05-09-2024,"On 5 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit \",unknown,0,0
Hanita,"33.0875, 35.1736",05-09-2024,"On 5 September 2024, Hezbollah claimed to have targeted and directly hit an IDF site in the area of Hanita (Akko, HaZafon) with artillery shells. According to IDF and Israeli sources, sirens sounded in Hanita, but projectiles failed to cross into Israeli territory.",projectile,0,0
Dovev,"33.0522, 35.4081",05-09-2024,"Interception: On 5 September 2024, Israeli military forces intercepted a drone (likely armed) over the area of Dovev (Zefat, HaZafon). Hezbollah forces in Lebanon launched the drone.",drone,0,0
Ramot Naftali,"33.1015, 35.5532",05-09-2024,"Interception: On 5 September 2024, Israeli military forces intercepted a drone (likely armed) over the area of Ramot Naftali (Zefat, HaZafon). Hezbollah forces in Lebanon launched the drone. Several rockets fired by Hezbollah forces in Lebanon were also intercepted over the area of Ramot Naftali.",rockets,0,0
Kabri,"33.0209, 35.1484",05-09-2024,"Interception: On 5 September 2024, Israeli military forces intercepted a drone (likely armed) over the area of Kabri (Akko, HaZafon). Hezbollah forces in Lebanon launched the drone.",drone,0,0
Shlomi,"33.0726, 35.1458",05-09-2024,"Interception: On 5 September 2024, Israeli military forces intercepted a drone (likely armed) over the area of Shlomi (Akko, HaZafon). Hezbollah forces in Lebanon launched the drone.",drone,0,0
Kiryat Shmona,"33.2073, 35.572",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, at least 65 of which were fired toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. Several rockets fell in Kiryat Shmona, causing property damage and sparking fires. Hezbollah forces also fired an anti-tank missile that fell in Kiryat Shmona. No casualties occurred.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, at least 65 of which were fired toward Kiryat Shmona (Zefat, HaZafon) and surrounding areas. Some of the rockets fell in open areas near Kiryat Shmona, sparking fires. No casualties occurred.",rockets,0,0
Beit Hillel,"33.2086, 35.607",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, at least five of which fell in open areas and sparked fires near Bet Hillel (Zefat, HaZafon). No casualties occurred. Hezbollah forces claimed to have targeted an IDF site in the area.",rockets,0,0
Dishon,"33.0814, 35.5174",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, some of which fell in open areas and sparked fires near Dishon (Zefat, HaZafon). No casualties occurred. Hezbollah forces claimed to have targeted an IDF site in the area.",rockets,0,0
Kefar Giladi,"33.2423, 35.5752",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, some of which fell in open areas near Kefar Giladi (Zefat, HaZafon). No casualties occurred.",rockets,0,0
Emeq HaHula,"33.1572, 35.6062",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, some of which fell in open areas near Emeq HaHula (Zefat, HaZafon). No casualties occurred.",rockets,0,0
Kefar Blum,"33.1717, 35.6098",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, about 30 of which were fired toward Kefar Blum (Zefat, HaZafon) and surrounding areas. Some of the rockets fell in open areas near Kefar Blum, sparking fires. No casualties occurred.",rockets,0,0
Zarit,"33.0996, 35.2889",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, about five of which were fired toward Zarit (Akko, HaZafon). The rockets fell in open areas near Zarit. No casualties occurred. Hezbollah forces claimed to have targeted and directly hit an IDF site in the area of Zarit. No direct hits were reported by Israeli sources.",rockets,0,0
Shetula,"33.0852, 35.3149",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon fired one projectile toward Shetula (Akko, HaZafon). The projectile fell in an open area near Shetula. No casualties occurred.",projectile,0,0
Hanita,"33.0875, 35.1736",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit an IDF sire in Hanita (Akko, HaZafon) with artillery shells. No attempted attacks or direct hits were reported by Israeli sources.",shells,0,0
Margaliyyot,"33.2147, 35.5449",04-09-2024,"On 4 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit an IDF site in the area of Margaliyyot (Zefat, HaZafon) with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Kiryat Shmona,"33.2073, 35.572",04-09-2024,"Interception: On 4 September 2024, Israeli military forces intercepted some rockets over the area of Kiryat Shmona (Zefat, HaZafon). Hezbollah forces in Lebanon fired at least 65 rockets toward Kiryat Shmona and surrounding areas, some of which were intercepted.",rockets,0,0
Kefar Blum,"33.1717, 35.6098",04-09-2024,"Interception: On 4 September 2024, Israeli military forces intercepted some rockets over the area of Kefar Blum (Zefat, HaZafon). Hezbollah forces in Lebanon fired about 30 rockets toward the area of Kefar Blum, some of which were intercepted.",rockets,0,0
Menara,"33.1969, 35.5439",03-09-2024,"On 3 September 2024, Hezbollah forces in Lebanon fired an explosive-laden drone that fell and exploded in an open area near Menara (Zefat, HaZafon), sparking a fire. No casualties occurred. Hezbollah forces claimed to have targeted a building used by IDF soldiers and to have hit it directly. Hezbollah also claimed to have caused casualties. No direct hits or casualties were reported by Israeli sources.",drone,0,0
Aramsha,"33.0878, 35.2284",03-09-2024,"On 3 September 2024, Hezbollah forces in Lebanon fired three anti-tank missiles at Aramsha (Akko, HaZafon), causing property damage. No casualties occurred.",missiles,0,0
Birkat Risha,"33.095, 35.256",03-09-2024,"On 3 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit an IDF position in Birkat Risha (Akko, HaZafon) with rocket fire. Hezbollah also claimed to have caused casualties. No attempted attacks, direct hits, or casualties were reported by Israeli sources.",unknown,0,0
Hanita,"33.0875, 35.1736",03-09-2024,"Interception: On 3 September 2024, Israeli military forces intercepted a drone (likely armed) over the area of Hanita (Akko, HaZafon). Hezbollah forces in Lebanon fired the drone.",drone,0,0
Ein Yaakov,"33.0098, 35.2298",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon fired about 30 rockets toward Ein Yaakov (Akko, HaZafon), Gaaton, Shomera, Zarit, and other areas in the Western Galilee. No casualties occurred. The rockets fell in open areas, some near Ein Yaakov.",rockets,0,0
Gaaton,"33.0063, 35.2148",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon fired about 30 rockets toward Ein Yaakov, Gaaton (Akko, HaZafon), Shomera, Zarit, and other areas in the Western Galilee. The rockets fell in open areas, some likely near Gaaton. An additional five rockets were fired toward the area of Gaaton, which also likely fell in open areas. No casualties occurred in either barrage.",rockets,0,0
Shomera,"33.0827, 35.2838",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon fired about 30 rockets toward Ein Yaakov, Gaaton, Shomera (Akko, HaZafon), Zarit, and other areas in the Western Galilee. No casualties occurred. The rockets fell in open areas, some likely near Shomera.",rockets,0,0
Zarit,"33.0996, 35.2889",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon fired about 30 rockets toward Ein Yaakov, Gaaton, Shomera, Zarit (Akko, HaZafon), and other areas in the Western Galilee. No casualties occurred. The rockets fell in open areas, some likely near Zarit.",rockets,0,0
Avivim,"33.0889, 35.4723",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon fired an anti-tank missile that hit a house in Avivim (Zefat, HaZafon), causing damage. No casualties occurred. Hezbollah forces claimed that the impacted building was used by IDF soldiers.",anti-tank,0,0
Aramsha,"33.0878, 35.2284",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon fired several rockets toward Aramsha (Akko, HaZafon). Some of the rockets were intercepted. The remainder fell in open areas near Aramsha. No casualties occurred.",rockets,0,0
Menara,"33.1969, 35.5439",02-09-2024,"On 2 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit a building used by IDF soldiers in Menara (Zefat, HaZafon) with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
